train_samples,1D-CNN (raw waveform),BiLSTM (press sequence),Features + Random Forest,Features + SVM,Rule-based (no training),Transformer (press sequence)
0,,,,,0.9992094861660079,
149,0.9613612006844399,0.9314895277854633,0.9996039603960396,0.9976253277501662,,0.9885201736955966
484,0.9830248498238422,0.994864524591522,0.9996039603960396,0.9976253277501662,,0.9968340312292099
819,0.9814250533833624,0.9944754195331562,0.9996039603960396,0.9972300708331703,,0.9960409657748045
1155,0.9901395839668554,0.9968377880657293,0.9996039603960396,0.9972300708331703,,0.9972300708331703
1490,0.9913272802495949,0.9956488865668838,0.9996039603960396,0.9972300708331703,,0.9972300708331703
