method,accuracy,macro_precision,macro_recall,macro_f1,cohen_kappa,n_errors
Rule-based (no training),0.9992484028560692,0.999276425747014,0.9992458521870288,0.9992556928711068,0.9992181330833868,2
Features + Random Forest,0.9996242014280344,0.9996534996534996,0.9996229260935144,0.9996365001826072,0.9996090664842604,1
Features + SVM,0.997369409996242,0.9973714653897404,0.9973415191319248,0.997349134731443,0.997263469812151,7
Transformer (press sequence),0.997369409996242,0.9975385492920668,0.9973415191319248,0.9974186241011428,0.9972634517207184,7
BiLSTM (press sequence),0.994738819992484,0.9947257217311084,0.994671835874006,0.994637039708664,0.9945269307796456,14
1D-CNN (raw waveform),0.9883502442690718,0.9881038470244214,0.9881455554589272,0.9880876313499708,0.987881100181201,31
