method,epoch,train_loss,train_acc,val_loss,val_acc
Transformer (press sequence),1,2.3451279728401584,0.7293183207511902,1.3214880228042603,0.7261146306991577
Transformer (press sequence),2,0.9826946352429141,0.9940437078475952,0.5127907395362854,0.9893842935562134
Transformer (press sequence),3,0.4009423282547237,0.9973527193069458,0.1636175662279129,0.993630588054657
Transformer (press sequence),4,0.15219310265278516,0.9973527193069458,0.06365293264389038,0.993630588054657
Transformer (press sequence),5,0.07122687563487506,0.9973527193069458,0.037673451006412506,0.993630588054657
Transformer (press sequence),6,0.04302759920225326,0.9986763596534729,0.030434606596827507,0.993630588054657
Transformer (press sequence),7,0.031835071691992976,0.9814692139625549,0.06993267685174942,0.9745222926139832
Transformer (press sequence),8,0.03424451974036282,1.0,0.024885261431336403,0.993630588054657
Transformer (press sequence),9,0.056513131776742,0.9993382096290588,0.035324472934007645,0.993630588054657
Transformer (press sequence),10,0.047885204059479256,1.0,0.02444496750831604,0.993630588054657
Transformer (press sequence),11,0.022829390061288223,1.0,0.019447490572929382,0.993630588054657
Transformer (press sequence),12,0.011158749358241602,0.9966909289360046,0.02404259890317917,0.9915074110031128
Transformer (press sequence),13,0.016398128196979243,1.0,0.018503442406654358,0.993630588054657
Transformer (press sequence),14,0.008928269280082515,1.0,0.01882866770029068,0.993630588054657
Transformer (press sequence),15,0.0063396995442763495,1.0,0.018833868205547333,0.993630588054657
Transformer (press sequence),16,0.005021644062790983,1.0,0.021575795486569405,0.993630588054657
Transformer (press sequence),17,0.004175484532547078,1.0,0.020954960957169533,0.993630588054657
Transformer (press sequence),18,0.003896249426142969,1.0,0.020911579951643944,0.993630588054657
Transformer (press sequence),19,0.003540528798260135,1.0,0.020081384107470512,0.993630588054657
Transformer (press sequence),20,0.003165456770705386,1.0,0.019753679633140564,0.993630588054657
Transformer (press sequence),21,0.0031494083275006436,1.0,0.019626665860414505,0.993630588054657
Transformer (press sequence),22,0.002699471137983802,1.0,0.0197604913264513,0.993630588054657
Transformer (press sequence),23,0.0025718238478690423,1.0,0.019909827038645744,0.993630588054657
Transformer (press sequence),24,0.0023743499291988004,1.0,0.020614268258213997,0.993630588054657
Transformer (press sequence),25,0.002163035856574665,1.0,0.02017638459801674,0.993630588054657
Transformer (press sequence),26,0.0021128613541234334,1.0,0.020237592980265617,0.993630588054657
Transformer (press sequence),27,0.0021246330461093155,1.0,0.02062898501753807,0.993630588054657
Transformer (press sequence),28,0.001885169247565341,1.0,0.02090657874941826,0.993630588054657
Transformer (press sequence),29,0.0018308949311621966,1.0,0.02141423523426056,0.993630588054657
Transformer (press sequence),30,0.0017032042457916282,1.0,0.021532006561756134,0.993630588054657
Transformer (press sequence),31,0.0017199640471702732,1.0,0.02018127404153347,0.993630588054657
Transformer (press sequence),32,0.0017062156024486971,1.0,0.02082594484090805,0.993630588054657
Transformer (press sequence),33,0.0022255604800692384,1.0,0.02201993577182293,0.993630588054657
BiLSTM (press sequence),1,3.197160657709754,0.17273329198360443,3.0780792236328125,0.1698513776063919
BiLSTM (press sequence),2,2.8543433884293097,0.17273329198360443,2.5975968837738037,0.1698513776063919
BiLSTM (press sequence),3,2.290989667196924,0.5890138745307922,1.9160648584365845,0.5944798588752747
BiLSTM (press sequence),4,1.551694908653325,0.7954996824264526,1.2166239023208618,0.7919320464134216
BiLSTM (press sequence),5,0.9842708685948784,0.9463931322097778,0.8010888695716858,0.9320594668388367
BiLSTM (press sequence),6,0.6669815680508895,0.9404367804527283,0.5863794684410095,0.92144376039505
BiLSTM (press sequence),7,0.4854673258048032,0.9861019253730774,0.42555874586105347,0.9745222926139832
BiLSTM (press sequence),8,0.3597307120586057,0.9927200675010681,0.3251030147075653,0.993630588054657
BiLSTM (press sequence),9,0.2790749594717133,0.9960291385650635,0.26172810792922974,0.9915074110031128
BiLSTM (press sequence),10,0.22942918680070806,0.9960291385650635,0.21719545125961304,0.993630588054657
BiLSTM (press sequence),11,0.19442680280860256,0.9960291385650635,0.184869647026062,0.9915074110031128
BiLSTM (press sequence),12,0.16876934221215315,0.9953672885894775,0.15882650017738342,0.993630588054657
BiLSTM (press sequence),13,0.14585507215844487,0.9966909289360046,0.13962474465370178,0.9915074110031128
BiLSTM (press sequence),14,0.12752861228311085,0.9966909289360046,0.12311477959156036,0.993630588054657
BiLSTM (press sequence),15,0.11547321842984598,0.9980145692825317,0.11045405268669128,0.993630588054657
BiLSTM (press sequence),16,0.10289927268268886,0.9980145692825317,0.10163860768079758,0.993630588054657
BiLSTM (press sequence),17,0.09397169737568128,0.9980145692825317,0.08968290686607361,0.993630588054657
BiLSTM (press sequence),18,0.08650317859128956,0.9980145692825317,0.08249828219413757,0.993630588054657
BiLSTM (press sequence),19,0.0800963924281807,0.9980145692825317,0.07916877418756485,0.9915074110031128
BiLSTM (press sequence),20,0.07257289149010127,0.9980145692825317,0.0741289034485817,0.9915074110031128
BiLSTM (press sequence),21,0.06728305543873343,0.9980145692825317,0.06586799025535583,0.993630588054657
BiLSTM (press sequence),22,0.06182875352080179,0.9980145692825317,0.06196866184473038,0.9957537055015564
BiLSTM (press sequence),23,0.05541151917578368,0.9980145692825317,0.05674637854099274,0.9957537055015564
BiLSTM (press sequence),24,0.05260914129227853,0.9980145692825317,0.054603442549705505,0.9957537055015564
BiLSTM (press sequence),25,0.04951156206641033,0.9980145692825317,0.0511724017560482,0.993630588054657
BiLSTM (press sequence),26,0.04601248375662189,0.9980145692825317,0.04757588729262352,0.9957537055015564
BiLSTM (press sequence),27,0.04127444106220095,0.9980145692825317,0.04531833529472351,0.9957537055015564
BiLSTM (press sequence),28,0.03763943757864318,0.9980145692825317,0.04270673170685768,0.9957537055015564
BiLSTM (press sequence),29,0.036793018308481105,0.9980145692825317,0.03986743465065956,0.9957537055015564
BiLSTM (press sequence),30,0.034287121490847186,0.9980145692825317,0.037950873374938965,0.9978768825531006
BiLSTM (press sequence),31,0.030274602611044397,0.9980145692825317,0.0363321527838707,0.9978768825531006
BiLSTM (press sequence),32,0.029541919950930823,0.9980145692825317,0.03458939120173454,0.9978768825531006
BiLSTM (press sequence),33,0.026887751738513092,0.9980145692825317,0.03367578983306885,0.9978768825531006
BiLSTM (press sequence),34,0.02650418925431294,0.9980145692825317,0.032081086188554764,0.9978768825531006
BiLSTM (press sequence),35,0.023936282596806673,0.9986763596534729,0.03104216232895851,0.9978768825531006
BiLSTM (press sequence),36,0.021813309075302198,0.9986763596534729,0.02991759032011032,0.9978768825531006
BiLSTM (press sequence),37,0.020134410446769824,0.9986763596534729,0.02912791259586811,0.9978768825531006
BiLSTM (press sequence),38,0.019528684633445613,0.9993382096290588,0.028853051364421844,0.9978768825531006
BiLSTM (press sequence),39,0.018572492893565815,0.9993382096290588,0.027595896273851395,0.9978768825531006
BiLSTM (press sequence),40,0.0179851697277078,1.0,0.027031991630792618,0.9978768825531006
BiLSTM (press sequence),41,0.01616164630132251,1.0,0.02655033767223358,0.9957537055015564
BiLSTM (press sequence),42,0.015616703035173079,1.0,0.02582692727446556,0.9978768825531006
BiLSTM (press sequence),43,0.014108418305802038,1.0,0.025109147652983665,0.9978768825531006
