tsne_1,tsne_2,label
-1.6249713,-10.074144,B
-6.314016,-7.755694,B
-6.4299474,-8.484616,B
-2.255195,-10.01366,B
-2.5108962,-12.756246,B
-1.0731894,-11.61399,B
-1.2859977,-10.596987,B
-0.80129105,-13.054267,B
-0.8599363,-10.820553,B
-3.989203,-9.541324,B
-0.580507,-12.057412,B
-0.93694955,-12.441429,B
0.004751331,-11.816319,B
-1.2220254,-11.379302,B
-3.7761838,-6.51458,B
-5.304667,-8.511576,B
0.11909171,-12.465297,B
-6.003811,-7.9516697,B
-5.3674836,-8.814838,B
-0.833682,-10.680846,B
-3.6113288,-6.523668,B
-5.2741346,-8.549032,B
-2.8719761,-10.938264,B
-2.7439728,-10.060859,B
-6.2740164,-6.9044724,B
-3.4401891,-10.299373,B
-2.5188358,-10.904425,B
-6.193337,-7.9217906,B
-3.747904,-7.1649084,B
-1.7917199,-11.727458,B
-4.130005,30.950682,C
-1.8870732,29.545595,C
1.4058816,29.415274,C
1.3306035,28.70654,C
1.2044746,28.114998,C
1.4100621,25.837124,C
2.728155,28.011536,C
-0.5336669,25.182974,C
-1.9427758,29.462793,C
-4.3141828,29.636469,C
-4.6563044,29.560207,C
-4.70003,29.562016,C
-3.3954244,30.247286,C
-2.835248,30.34132,C
-2.5573227,30.325258,C
-2.054076,25.710562,C
0.7364807,29.219069,C
-0.9508249,25.900225,C
-1.5803592,26.038961,C
-2.0829737,25.07628,C
-2.1279607,29.941519,C
1.3580837,28.284855,C
0.4499228,25.100277,C
0.6560096,27.732628,C
-1.4187579,28.541874,C
-1.6215264,26.712606,C
-3.8302636,29.303167,C
-5.2902746,29.029488,C
-3.558298,26.63789,C
-5.292498,29.120382,C
-2.5668378,27.198034,C
0.38028425,29.228342,C
-1.2248182,26.189373,C
-2.067755,25.112175,C
0.40090188,29.364231,C
-0.5062364,27.741678,C
-0.77623624,25.277138,C
-0.50049686,25.148514,C
0.22923401,25.32573,C
-0.6817864,25.0391,C
0.69788504,27.98958,C
0.5619764,27.421942,C
-0.83448094,25.82975,C
-3.558359,29.297869,C
-2.9301643,30.348364,C
-1.216207,31.392336,C
-4.5716925,29.654474,C
-2.190392,30.71345,C
-2.0927157,30.491287,C
-2.5395732,29.674433,C
-2.7117982,24.387293,C
-2.70718,28.753616,C
-0.40532795,29.506863,C
-1.6283801,24.6165,C
2.067504,29.147987,C
1.7529474,28.136482,C
-0.55167484,24.584877,C
2.1328244,28.343721,C
-1.1016033,24.511864,C
-0.55129623,28.595459,C
-3.0155225,26.410063,C
-1.2387441,30.396618,C
-3.3845341,26.857193,C
-3.2881947,25.783722,C
