method,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cohen_kappa,n_errors
rule,0.9992094861660079,0.9992764257470139,0.9992458521870287,0.9992556928711068,0.9992169221069477,0.9992094861660079,0.9992074405168091,0.9991769366590948,2
rf,0.999604743083004,0.9996534996534996,0.9996229260935144,0.9996365001826072,0.99960830395613,0.999604743083004,0.9996046637902181,0.9995884682626074,1
transformer,0.9972332015810277,0.9969867102518557,0.9971844050042223,0.9970626256865883,0.9972899623284374,0.9972332015810277,0.9972404038327868,0.9971192792439921,7
svm,0.9972332015810277,0.9973714653897405,0.9971844050042223,0.9972696386307268,0.9972757144609254,0.9972332015810277,0.9972464229255128,0.997119268935195,7
bilstm,0.9956521739130435,0.9958683654951114,0.9954963708161881,0.9956341610034005,0.9957459988193859,0.9956521739130435,0.9956515027008606,0.9954731044987386,11
cnn_raw,0.990909090909091,0.9911062493907588,0.9908713781753676,0.9909677771774495,0.9909453834150642,0.990909090909091,0.9909079449180961,0.9905347269303691,23
