accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,cohen_kappa,fold,method
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,rule
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,rf
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,transformer
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,svm
0.9980544747081712,0.9981684981684982,0.9974358974358974,0.9977356537491104,0.9981471187696869,0.9980544747081712,0.99804465708685,0.9979745358968195,0,bilstm
0.9941634241245136,0.9940745528980823,0.9935897435897435,0.9936596796918982,0.9944631549117702,0.9941634241245136,0.9941569248134292,0.9939237034672719,0,cnn_raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,rule
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,rf
0.994059405940594,0.99496336996337,0.9943223443223445,0.9944272950914688,0.9944837340876945,0.994059405940594,0.9940412805582618,0.9938143319682673,1,transformer
0.994059405940594,0.9949832775919732,0.9943223443223445,0.994354259049605,0.9948342660352992,0.994059405940594,0.9941382662611725,0.9938144329896907,1,svm
0.9900990099009901,0.9908694246929541,0.9904761904761904,0.9902433027076147,0.9907341154283495,0.9900990099009901,0.9899730351753072,0.9896907216494846,1,bilstm
0.9920792079207921,0.9933110367892977,0.9923992673992673,0.9924053465743766,0.9929401635815756,0.9920792079207921,0.9920434564957009,0.991752509972522,1,cnn_raw
0.9980237154150198,0.9981684981684982,0.9981684981684982,0.9981238273921201,0.9981178242047807,0.9980237154150198,0.9980237154150198,0.9979426127192073,2,rule
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,rf
0.9940711462450593,0.9926501035196686,0.9936813186813187,0.9929323817986083,0.9944488089100565,0.9940711462450593,0.994085701597735,0.993827938539604,2,transformer
0.9940711462450593,0.9949832775919732,0.9936813186813187,0.9940660973067453,0.9948444749957038,0.9940711462450593,0.9941944548393451,0.9938277126755524,2,svm
0.9940711462450593,0.9950169674249941,0.9936813186813187,0.9942025254836128,0.9943271913971347,0.9940711462450593,0.9940530694477251,0.9938275369920831,2,bilstm
0.9901185770750988,0.9910089910089911,0.990018315018315,0.9900832061341863,0.9907602279143781,0.9901185770750988,0.9899975452686902,0.9897129381149874,2,cnn_raw
0.998019801980198,0.9983277591973244,0.9980769230769231,0.9981591058514135,0.9981058975462763,0.998019801980198,0.998016417026318,0.9979381190746441,3,rule
0.998019801980198,0.9983277591973244,0.9980769230769231,0.9981591058514135,0.9981058975462763,0.998019801980198,0.998016417026318,0.9979381190746441,3,rf
0.998019801980198,0.9983277591973244,0.9980769230769231,0.9981591058514135,0.9981058975462763,0.998019801980198,0.998016417026318,0.9979381190746441,3,transformer
0.998019801980198,0.9981684981684982,0.9980769230769231,0.9980757204021745,0.9981140971239981,0.998019801980198,0.998018563582437,0.9979381359115481,3,svm
0.998019801980198,0.9983277591973244,0.9980769230769231,0.9981591058514135,0.9981058975462763,0.998019801980198,0.998016417026318,0.9979381190746441,3,bilstm
0.9900990099009901,0.9906593406593408,0.9903846153846154,0.9904772213402607,0.9903818953323903,0.9900990099009901,0.9901943665285854,0.9896906795577404,3,cnn_raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,rule
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,rf
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,transformer
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,svm
0.998,0.9975961538461539,0.9980769230769231,0.9977731119170326,0.998125,0.998,0.998006617038875,0.997917369554442,4,bilstm
0.988,0.9900932400932401,0.9880566801619433,0.9881228162961909,0.9896969696969697,0.988,0.9878830230656857,0.9875037488753374,4,cnn_raw
